NAME,TBNAME,TBCREATOR
ENVSTRINGUNITS,ATTRIBUTES,SYSCAT  
JAVA_FIELDNAME,ATTRIBUTES,SYSCAT  
LENGTH,ATTRIBUTES,SYSCAT  
LOGGED,ATTRIBUTES,SYSCAT  
ORDINAL,ATTRIBUTES,SYSCAT  
SCALE,ATTRIBUTES,SYSCAT  
SOURCE_TYPEMODULENAME,ATTRIBUTES,SYSCAT  
SOURCE_TYPENAME,ATTRIBUTES,SYSCAT  
SOURCE_TYPESCHEMA,ATTRIBUTES,SYSCAT  
STRINGUNITSLENGTH,ATTRIBUTES,SYSCAT  
TARGET_TYPEMODULENAME,ATTRIBUTES,SYSCAT  
TARGET_TYPENAME,ATTRIBUTES,SYSCAT  
TARGET_TYPESCHEMA,ATTRIBUTES,SYSCAT  
TYPEMODULENAME,ATTRIBUTES,SYSCAT  
TYPENAME,ATTRIBUTES,SYSCAT  
TYPESCHEMA,ATTRIBUTES,SYSCAT  
TYPESTRINGUNITS,ATTRIBUTES,SYSCAT  
ALTER_TIME,AUDITPOLICIES,SYSCAT  
AUDITPOLICYID,AUDITPOLICIES,SYSCAT  
AUDITPOLICYNAME,AUDITPOLICIES,SYSCAT  
AUDITSTATUS,AUDITPOLICIES,SYSCAT  
CHECKINGSTATUS,AUDITPOLICIES,SYSCAT  
CONTEXTSTATUS,AUDITPOLICIES,SYSCAT  
CREATE_TIME,AUDITPOLICIES,SYSCAT  
ERRORTYPE,AUDITPOLICIES,SYSCAT  
EXECUTESTATUS,AUDITPOLICIES,SYSCAT  
EXECUTEWITHDATA,AUDITPOLICIES,SYSCAT  
OBJMAINTSTATUS,AUDITPOLICIES,SYSCAT  
REMARKS,AUDITPOLICIES,SYSCAT  
SECMAINTSTATUS,AUDITPOLICIES,SYSCAT  
SYSADMINSTATUS,AUDITPOLICIES,SYSCAT  
VALIDATESTATUS,AUDITPOLICIES,SYSCAT  
AUDITEXCEPTIONENABLED,AUDITUSE,SYSCAT  
AUDITPOLICYID,AUDITUSE,SYSCAT  
AUDITPOLICYNAME,AUDITUSE,SYSCAT  
OBJECTNAME,AUDITUSE,SYSCAT  
OBJECTSCHEMA,AUDITUSE,SYSCAT  
OBJECTTYPE,AUDITUSE,SYSCAT  
SUBOBJECTTYPE,AUDITUSE,SYSCAT  
BUFFERPOOLID,BUFFERPOOLDBPARTITIONS,SYSCAT  
DBPARTITIONNUM,BUFFERPOOLDBPARTITIONS,SYSCAT  
NPAGES,BUFFERPOOLDBPARTITIONS,SYSCAT  
BUFFERPOOLID,BUFFERPOOLEXCEPTIONS,SYSCAT  
MEMBER,BUFFERPOOLEXCEPTIONS,SYSCAT  
NPAGES,BUFFERPOOLEXCEPTIONS,SYSCAT  
BUFFERPOOLID,BUFFERPOOLNODES,SYSCAT  
NODENUM,BUFFERPOOLNODES,SYSCAT  
NPAGES,BUFFERPOOLNODES,SYSCAT  
BLOCKSIZE,BUFFERPOOLS,SYSCAT  
BPNAME,BUFFERPOOLS,SYSCAT  
BUFFERPOOLID,BUFFERPOOLS,SYSCAT  
DBPGNAME,BUFFERPOOLS,SYSCAT  
ESTORE,BUFFERPOOLS,SYSCAT  
NGNAME,BUFFERPOOLS,SYSCAT  
NPAGES,BUFFERPOOLS,SYSCAT  
NUMBLOCKPAGES,BUFFERPOOLS,SYSCAT  
PAGESIZE,BUFFERPOOLS,SYSCAT  
ASSIGN_FUNCTION,CASTFUNCTIONS,SYSCAT  
FROM_TYPEMODULEID,CASTFUNCTIONS,SYSCAT  
FROM_TYPEMODULENAME,CASTFUNCTIONS,SYSCAT  
FROM_TYPENAME,CASTFUNCTIONS,SYSCAT  
FROM_TYPESCHEMA,CASTFUNCTIONS,SYSCAT  
FUNCMODULEID,CASTFUNCTIONS,SYSCAT  
FUNCMODULENAME,CASTFUNCTIONS,SYSCAT  
FUNCNAME,CASTFUNCTIONS,SYSCAT  
FUNCSCHEMA,CASTFUNCTIONS,SYSCAT  
SPECIFICNAME,CASTFUNCTIONS,SYSCAT  
TO_TYPEMODULEID,CASTFUNCTIONS,SYSCAT  
TO_TYPEMODULENAME,CASTFUNCTIONS,SYSCAT  
TO_TYPENAME,CASTFUNCTIONS,SYSCAT  
TO_TYPESCHEMA,CASTFUNCTIONS,SYSCAT  
COLLATIONNAME,CHECKS,SYSCAT  
COLLATIONNAME_ORDERBY,CHECKS,SYSCAT  
COLLATIONSCHEMA,CHECKS,SYSCAT  
COLLATIONSCHEMA_ORDERBY,CHECKS,SYSCAT  
CONSTNAME,CHECKS,SYSCAT  
CREATE_TIME,CHECKS,SYSCAT  
